,광고그룹,키워드,노출수,클릭수,"총비용(VAT포함,원)"
228, 리더를 위한 HR/인재경영_1.인재,인사관리,21353,7.199999999999999,36960
229,포토샵 유치원_일러스트레이터 유치원,로고디자인,19614,33.6,36960
230,ㅍAOP 전체_중복키워드_디자인(삭제),일러스트레이터,96839,15.6,36817
231, 1인 쇼핑몰_00.창업_MO,쇼핑몰창업,2267,9.6,36718
232,ㅍAOP 전체_중복키워드_디자인(삭제),프리미어,157060,25.2,36685
233,대기업을 이기는 브랜딩 전략,브랜딩,3971,21.599999999999998,36476
234,내 아이템에 맞는 영상 콘텐츠 기획/제작,유튜브동영상,40372,33.6,36465
235, 업무자동화_VBA,컴퓨터학원,5352,67.2,36322
236,1. 일반_PC,게임만들기,8308,9.6,35739
237,ㅍ 브랜딩,브랜드디자인,3896,12.0,35189
238,ㅍ UX/UI 디자인 입문_연관검색어(삭제),UIUX,4332,18.0,34727
239,ㅍAOP 전체_중복키워드_데이터사이언스(삭제),데이터분석,2526,4.8,34507
240, 콘텐츠 마케팅_카피라이팅,카피라이팅,18352,33.6,33627
241, 디자인 툴_파워컨텐츠_포토샵,영상제작,3557,33.6,33528
242, 그로스해킹_1.용어,랜딩페이지,3805,21.599999999999998,33462
243,프로그래밍 유치원,프로그래밍독학,1468,9.6,33165
244, 콘텐츠 마케팅_대표키워드,유튜브제작,4829,13.2,33165
245,AOP 전체_중복키워드_마케팅,퍼포먼스마케팅,4673,10.799999999999999,33132
246,003.퍼포먼스 마케팅,빅데이터마케팅,1237,20.4,32967
247, 콘텐츠 마케팅_대표키워드,인스타그램광고,16734,12.0,32780
248,AOP 전체_중복키워드_마케팅,GA,14655,6.0,32593
249, 업무자동화_VBA,MOS,21298,91.2,32516
250,AOP 전체_중복키워드_디자인,어도비포토샵,43215,14.399999999999999,31933
251,1_벤처캐피탈에 대한 이해(벤처캐피탈),투자금,51003,62.4,31834
252,1. 일반_MO,게임제작,2025,4.8,31702
253, 영상 제작/편집_9.유튜브/유튜버,유튜브제작,4062,10.799999999999999,31504
254,002.R,RSTUDIO,9923,46.8,31328
255, 1인 쇼핑몰 시작하기_05.상품촬영,쇼핑몰사진촬영,1874,10.799999999999999,31185
256,PYTHON & DJANGO를 활용한  웹 서비스 개발,DJANGO,3382,36.0,31086
257, 디지털 마케팅_3. 구글 광고,GDN,10953,12.0,30998
258, 데이터 분석 입문 온라인_파콘,빅데이터,11916,48.0,30987
